emotion,local_pc,attr,n,rho_raw,rho_partial_intensity_and_judgeEI,abs_drop_ratio_vs_raw,sign_stable
fear,PC3,agency,105,0.1607494127825856,0.00579968345450253,0.9639209664650743,True
fear,PC3,blame,105,-0.15018217564064512,-0.09938955754214933,0.3382067005077355,True
fear,PC3,injustice,105,-0.18811306310436685,-0.1514234010967104,0.19504047939137903,True
fear,PC3,relief,105,0.012163774704170573,-0.06761646138642854,-4.558838685432492,False
fear,PC3,gratitude,105,0.03179068742222586,0.015902751467974565,0.4997669834324987,True
fear,PC3,loneliness,105,-0.043920278203736944,0.0799576425332272,-0.8205176698180391,False
fear,PC3,disappointment,105,-0.0630653557697161,0.023188477192938338,0.632310372154066,False
fear,PC3,uncertainty,105,-0.12926202407487059,-0.009122548511504514,0.9294259193541593,True
fear,PC3,hope,105,0.21615260276559375,0.1233024636762945,0.429558274576922,True
fear,PC3,surprise_valence,105,0.2094742221011049,0.0592489997418309,0.7171537426059338,True
joy,PC1,valence,108,-0.6440360644725285,-0.6748552861524774,-0.04785325446827285,True
joy,PC1,arousal,108,-0.33762349420806864,-0.11082650979995012,0.6717452674319797,True
joy,PC1,dominance,108,-0.5575751202189438,-0.49347739899192666,0.11495800099876737,True
joy,PC1,emotional_intensity,108,-0.4014046503878885,,,False
joy,PC1,threat,108,0.41176996755359035,0.4473024126624933,-0.08629197831014364,True
joy,PC1,social_warmth,108,-0.5558942693298806,-0.4989509677372672,0.10243548950640814,True
joy,PC1,certainty,108,-0.6255064460914331,-0.566339890281659,0.09458984184653071,True
joy,PC1,agency,108,-0.4812020977976937,-0.4125763640542567,0.14261312254770872,True
joy,PC1,blame,108,0.3825105708926661,0.3678467006887903,0.038335856103675015,True
joy,PC1,injustice,108,0.3901132751292236,0.37686072322336084,0.03397103546777001,True
joy,PC1,relief,108,-0.11230683963497351,-0.011803981486866282,0.8948952572681032,True
joy,PC1,gratitude,108,-0.4619427269046647,-0.36685377506249955,0.2058457603160608,True
joy,PC1,loneliness,108,0.34259055541445466,0.4468221229254063,-0.3042453035077273,True
joy,PC1,disappointment,108,0.487972523038466,0.48748216251850013,0.0010048937118683154,True
joy,PC1,uncertainty,108,0.5390090932268959,0.5276564925788066,0.02106198353746588,True
joy,PC1,hope,108,-0.5439021752668435,-0.43269836178329474,0.20445554097846935,True
joy,PC1,surprise_valence,108,-0.45900450698748846,-0.4017890689492605,0.12465114648599204,True
joy,PC2,valence,108,0.3994144564053187,-0.09465664267434491,0.7630114755328509,False
joy,PC2,arousal,108,0.6112614618179764,0.24430974991703192,0.6003187421788038,True
joy,PC2,dominance,108,0.34704272996779445,-0.10400770963973224,0.7003028714954376,False
joy,PC2,emotional_intensity,108,0.5437014858195823,,,False
joy,PC2,threat,108,-0.025636249261189008,0.05007644581048458,-0.9533452534453176,False
joy,PC2,social_warmth,108,0.1337406261510405,-0.1512391143055321,-0.13083898780860825,False
joy,PC2,certainty,108,0.2673589868282857,-0.08853428497758131,0.6688561472053922,False
joy,PC2,agency,108,0.3876027594099025,-0.03414973004272138,0.9118950285732953,False
joy,PC2,blame,108,-0.1069388467164069,-0.1367282805086401,-0.27856513051082704,True
joy,PC2,injustice,108,-0.09175744175737051,-0.1314008740361237,-0.43204596291579567,True
joy,PC2,relief,108,0.047708779127146925,-0.07375189485661952,-0.5458768009985341,False
joy,PC2,gratitude,108,-0.1136657264036544,-0.20915032018840896,-0.8400473634916628,True
joy,PC2,loneliness,108,-0.10802538033372965,0.11969313114728436,-0.1080093472247799,False
joy,PC2,disappointment,108,-0.20675313737757434,0.014801966385641237,0.9284075367687903,False
joy,PC2,uncertainty,108,-0.060541230087077555,0.14840909912042038,-1.4513723772536644,False
joy,PC2,hope,108,0.3629223021729929,0.022460146421033587,0.9381130718984373,True
joy,PC2,surprise_valence,108,0.5121058476911693,0.12587865960042233,0.7541940593571688,True
joy,PC3,valence,108,-0.3222087722389558,-0.2456340536427228,0.23765559846224107,True
joy,PC3,arousal,108,-0.29319527870931533,-0.19986860393306072,0.3183089277122437,True
joy,PC3,dominance,108,-0.29753804643458737,-0.20682462227351966,0.304880082557814,True
joy,PC3,emotional_intensity,108,-0.2160393319105975,,,False
joy,PC3,threat,108,0.17889291573983965,0.16021228581136696,0.10442353097782561,True
joy,PC3,social_warmth,108,-0.10195981643393498,-0.010278094602032004,0.899194653722315,True
joy,PC3,certainty,108,-0.26186995010354047,-0.17252630613965822,0.34117562526191636,True
joy,PC3,agency,108,-0.33034238458958703,-0.24810061398540537,0.2489591842910432,True
joy,PC3,blame,108,-0.06189301318018518,-0.08081456661904869,-0.3057138837913481,True
joy,PC3,injustice,108,-0.06579098044965094,-0.08138191984118683,-0.23697685130969354,True
joy,PC3,relief,108,0.004158420270097497,0.0496530225964802,-10.940357003722486,True
joy,PC3,gratitude,108,0.042842967400755785,0.08015499992413326,-0.8709021523733032,True
joy,PC3,loneliness,108,0.15496234123699174,0.10830857154913359,0.3010652092336949,True
joy,PC3,disappointment,108,0.2557582358027122,0.19356743372061405,0.24316246116927048,True
joy,PC3,uncertainty,108,0.19835678482959754,0.14495349584276584,0.2692284462702341,True
joy,PC3,hope,108,-0.3137400445928595,-0.23737415319068908,0.24340498676625877,True
joy,PC3,surprise_valence,108,-0.3160263490628144,-0.22487140840520764,0.28844095097744055,True
sadness,PC1,valence,108,0.36635651022252996,0.334714782125246,0.08636867972692588,True
sadness,PC1,arousal,108,-0.18131725989282305,-0.09336703118087357,0.48506263972849034,True
sadness,PC1,dominance,108,0.27797142845670614,0.2509149743998252,0.09733537798146394,True
sadness,PC1,emotional_intensity,108,-0.1741710256999264,,,False
sadness,PC1,threat,108,-0.12985433320730325,-0.057082362625410395,0.5604123388452318,True
sadness,PC1,social_warmth,108,0.22322795573230483,0.2408395267996541,-0.07889500671891235,True
sadness,PC1,certainty,108,0.16125587326245205,0.08212105795755865,0.4907406701156088,True
sadness,PC1,agency,108,0.23234111646707592,0.18907664899592963,0.18621098206385314,True
sadness,PC1,blame,108,0.025455365325676254,0.08354303152917412,-2.2819419584171574,True
sadness,PC1,injustice,108,-0.12197894945181124,-0.025398977616469615,0.7917757307255406,True
sadness,PC1,relief,108,0.09096628037525313,0.01246603923683556,0.8629597782231967,True
sadness,PC1,gratitude,108,0.16060361477628368,0.10146353973294556,0.3682362637087502,True
sadness,PC1,loneliness,108,0.06219266151842972,0.092928827977088,-0.4942088939150827,True
sadness,PC1,disappointment,108,-0.22403145333339192,-0.2092731676299867,0.06587595395117442,True
